token_count,char_count,avg_word_length,modal_intensifying,modal_mitigating,modal_discourse,modal_particles_total,epistemic_verbs,epistemic_adverbs,hedging_total,positive_evaluation,negative_evaluation,negation_count,compound_count,compound_ratio,connective_causal,connective_contrast,connective_temporal,connective_additive,connectives_total,medical_diagnosis,medical_treatment,medical_symptoms,medical_professionals,temporal_expressions,intensifiers,has_question,doc_id,sent_id,topic,topic_prob,rating
18,120,5.722222222222222,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,0,1,0,0,0,0,0,7032,1,-1,0.0350847465494214,1.0
13,96,6.461538461538462,0,0,0,0,1,0,1,0,0,0,0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,898,15,-1,0.1235438006182868,4.0
10,87,7.8,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,1,0,0,0,0,2179,1,-1,0.0481777308285164,5.0
30,182,5.1,0,0,0,0,0,0,0,2,0,1,0,0.0,1,0,0,1,2,0,0,0,1,0,2,0,1736,5,-1,0.0676363130077043,5.0
12,72,5.083333333333333,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,324,0,-1,0.2118516287658197,2.0
18,103,4.777777777777778,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,5268,0,-1,0.0325455031601232,3.0
18,108,5.055555555555555,0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1670,1,-1,0.0604434492092101,1.0
16,104,5.5625,0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,0,1,0,0,0,6549,4,-1,0.0355135394185328,2.0
7,54,6.857142857142857,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,7442,2,3,0.2558945080102084,1.0
14,89,5.428571428571429,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1813,2,2,0.3758854737631359,1.0
8,56,6.125,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1638,3,-1,0.0274842380928047,2.0
11,71,5.545454545454546,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,1,0,6257,0,-1,0.0576381181646486,4.0
9,55,5.222222222222222,0,1,0,1,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,2426,9,7,1.0,6.0
10,49,4.0,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,2,2,0,0,0,0,0,1,0,4209,4,3,0.304161204610487,1.0
9,71,7.0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,1,1,1,0,0,0,0,0,0,6551,24,1,0.4919972490918348,6.0
15,100,5.733333333333333,1,0,0,1,0,0,0,1,0,0,0,0.0,0,1,0,0,1,0,0,0,1,0,0,0,2614,1,20,1.0,3.0
12,97,7.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,680,14,-1,0.0084753579602201,3.0
11,78,6.181818181818182,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,2,0,0,0,1,0,0,0,2173,0,-1,0.0248704311411195,2.0
26,181,6.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,6514,0,-1,0.0793743500434698,6.0
7,34,4.0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,7802,3,35,0.9043872024285428,5.0
8,45,4.75,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4487,2,-1,0.0510105374391313,4.0
29,191,5.620689655172414,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,1,1,0,0,0,1,0,0,0,22,3,-1,0.0295701257484572,4.0
13,77,5.0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,813,1,16,0.0956334262345695,6.0
25,159,5.4,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,1,0,1,0,2,0,7289,0,-1,0.0290512525328965,3.0
18,106,4.944444444444445,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1117,7,-1,0.0936374855649567,6.0
20,131,5.6,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,-1,0.036670750268817,4.0
7,37,4.428571428571429,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5156,5,-1,0.0632487793065733,6.0
9,72,7.111111111111111,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1694,10,-1,0.0277612729566763,3.0
27,144,4.37037037037037,0,1,0,1,0,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,5902,0,37,1.0,2.0
25,166,5.68,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,1,0,1,1,0,0,0,0,3411,2,-1,0.0457844847205392,6.0
12,85,6.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,3199,4,-1,0.0256841555275046,4.0
11,60,4.545454545454546,0,0,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3046,8,-1,0.0705438658000153,3.0
30,197,5.6,1,1,0,2,0,0,0,0,0,0,0,0.0,0,1,0,1,2,0,0,0,0,0,0,0,6944,1,-1,0.0243915958083413,1.0
6,44,6.5,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,2943,4,-1,0.0366191922536275,5.0
28,181,5.5,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,2,2,0,0,0,0,0,1,0,3690,0,-1,0.0775224626819789,6.0
13,98,6.615384615384615,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,680,4,-1,0.1137095887089082,3.0
5,42,7.6,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,1,1,0,0,0,1,0,0,0,5424,0,1,1.0,2.0
6,43,6.333333333333333,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,7509,6,10,0.0482136951651767,5.0
6,39,5.666666666666667,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,5203,2,-1,0.0091966118756188,3.0
11,81,6.454545454545454,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,2455,2,33,1.0,4.0
5,27,4.6,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,1,2,0,0,0,0,0,0,0,523,3,-1,0.0214787936940638,5.0
18,118,5.611111111111111,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1703,5,-1,0.0410491115169772,3.0
18,112,5.277777777777778,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4859,0,-1,0.0752904359535567,6.0
12,75,5.333333333333333,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,6053,5,-1,0.0093916278676742,3.0
